id,from,at,to,open,close,min,max,volume
5256252,2024-11-10 22:01:00,1731276090000000000,1731276090,1.07183,1.07183,1.07183,1.07183,0
5256253,2024-11-10 22:01:30,1731276120000000000,1731276120,1.07183,1.07183,1.07183,1.07183,0
5256254,2024-11-10 22:02:00,1731276150000000000,1731276150,1.07183,1.071085,1.071045,1.07183,22
5256255,2024-11-10 22:02:30,1731276180000000000,1731276180,1.071085,1.071075,1.071075,1.071095,36
5256256,2024-11-10 22:03:00,1731276210000000000,1731276210,1.071075,1.071095,1.071075,1.071095,33
5256257,2024-11-10 22:03:30,1731276240000000000,1731276240,1.071085,1.071095,1.071085,1.071105,36
5256258,2024-11-10 22:04:00,1731276270000000000,1731276270,1.071095,1.07101,1.071,1.071095,42
5256259,2024-11-10 22:04:30,1731276300000000000,1731276300,1.071,1.071,1.07099,1.07102,44
5256260,2024-11-10 22:05:00,1731276330000000000,1731276330,1.07099,1.07122,1.07098,1.07125,46
5256261,2024-11-10 22:05:30,1731276360000000000,1731276360,1.07129,1.07122,1.071195,1.071315,53
5256262,2024-11-10 22:06:00,1731276390000000000,1731276390,1.0712,1.071185,1.071175,1.0712,42
5256263,2024-11-10 22:06:30,1731276420000000000,1731276420,1.07118,1.07116,1.07116,1.07118,44
5256264,2024-11-10 22:07:00,1731276450000000000,1731276450,1.07116,1.07115,1.07111,1.07118,44
5256265,2024-11-10 22:07:30,1731276480000000000,1731276480,1.07116,1.07117,1.07112,1.07118,38
5256266,2024-11-10 22:08:00,1731276510000000000,1731276510,1.07117,1.07116,1.07115,1.07118,52
5256267,2024-11-10 22:08:30,1731276540000000000,1731276540,1.07116,1.07122,1.071135,1.07122,50
5256268,2024-11-10 22:09:00,1731276570000000000,1731276570,1.071205,1.071215,1.071195,1.07123,60
5256269,2024-11-10 22:09:30,1731276600000000000,1731276600,1.071205,1.07123,1.07119,1.07125,45
5256270,2024-11-10 22:10:00,1731276630000000000,1731276630,1.07123,1.0712,1.07119,1.07123,40
5256271,2024-11-10 22:10:30,1731276660000000000,1731276660,1.07121,1.07119,1.07119,1.07123,35
5256272,2024-11-10 22:11:00,1731276690000243747,1731276690,1.07119,1.071215,1.07119,1.071235,35
5256273,2024-11-10 22:11:30,1731276720000000000,1731276720,1.071215,1.071245,1.071205,1.071265,67
5256274,2024-11-10 22:12:00,1731276750000000000,1731276750,1.071245,1.07125,1.071225,1.07126,44
5256275,2024-11-10 22:12:30,1731276780000000000,1731276780,1.07125,1.071135,1.071135,1.07125,67
5256276,2024-11-10 22:13:00,1731276810000000000,1731276810,1.071135,1.071135,1.071115,1.07117,38
5256277,2024-11-10 22:13:30,1731276840000000000,1731276840,1.071145,1.071145,1.071135,1.071165,40
5256278,2024-11-10 22:14:00,1731276870000000000,1731276870,1.07113,1.07115,1.07113,1.07118,67
5256279,2024-11-10 22:14:30,1731276900000000000,1731276900,1.071155,1.07116,1.07112,1.071195,52
5256280,2024-11-10 22:15:00,1731276930000000000,1731276930,1.07114,1.07108,1.07107,1.071145,60
5256281,2024-11-10 22:15:30,1731276960000000000,1731276960,1.07108,1.07114,1.07108,1.07115,38
5256282,2024-11-10 22:16:00,1731276990000000000,1731276990,1.07114,1.07116,1.07113,1.07119,45
5256283,2024-11-10 22:16:30,1731277020000000000,1731277020,1.07116,1.071175,1.071155,1.071185,33
5256284,2024-11-10 22:17:00,1731277050000000000,1731277050,1.071175,1.07114,1.07114,1.07118,49
5256285,2024-11-10 22:17:30,1731277080000000000,1731277080,1.07115,1.071145,1.07114,1.07124,67
5256286,2024-11-10 22:18:00,1731277110000000000,1731277110,1.071135,1.071155,1.07113,1.071155,48
5256287,2024-11-10 22:18:30,1731277140000000000,1731277140,1.071155,1.07116,1.071145,1.07121,56
5256288,2024-11-10 22:19:00,1731277170000000000,1731277170,1.07116,1.07118,1.071155,1.071195,39
5256289,2024-11-10 22:19:30,1731277200000000000,1731277200,1.07118,1.07113,1.07113,1.07125,53
5256290,2024-11-10 22:20:00,1731277230000000000,1731277230,1.07113,1.07117,1.071095,1.07118,46
5256291,2024-11-10 22:20:30,1731277260000000000,1731277260,1.07117,1.07118,1.071155,1.0712,43
5256292,2024-11-10 22:21:00,1731277290000000000,1731277290,1.07118,1.071085,1.071075,1.07124,66
5256293,2024-11-10 22:21:30,1731277320000000000,1731277320,1.071105,1.071205,1.071085,1.071215,40
5256294,2024-11-10 22:22:00,1731277350000000000,1731277350,1.071205,1.071215,1.071205,1.071225,36
5256295,2024-11-10 22:22:30,1731277380000000000,1731277380,1.071205,1.07124,1.071205,1.07124,38
5256296,2024-11-10 22:23:00,1731277410000000000,1731277410,1.07124,1.0712,1.071185,1.07124,36
5256297,2024-11-10 22:23:30,1731277440000000000,1731277440,1.07121,1.071195,1.07119,1.07122,45
5256298,2024-11-10 22:24:00,1731277470000000000,1731277470,1.071195,1.071165,1.07115,1.071225,38
5256299,2024-11-10 22:24:30,1731277500000000000,1731277500,1.071165,1.071165,1.071155,1.07118,35
5256300,2024-11-10 22:25:00,1731277530000000000,1731277530,1.071155,1.071185,1.07114,1.071195,41
5256301,2024-11-10 22:25:30,1731277560000000000,1731277560,1.071185,1.071195,1.071185,1.071195,37
5256302,2024-11-10 22:26:00,1731277590000000000,1731277590,1.071185,1.07124,1.071175,1.07124,44
5256303,2024-11-10 22:26:30,1731277620000000000,1731277620,1.07123,1.07123,1.07123,1.07125,38
5256304,2024-11-10 22:27:00,1731277650000000000,1731277650,1.07123,1.07125,1.07122,1.07126,38
5256305,2024-11-10 22:27:30,1731277680000000000,1731277680,1.07125,1.0712,1.07115,1.07127,44
5256306,2024-11-10 22:28:00,1731277710000000000,1731277710,1.0712,1.071205,1.07119,1.071225,50
5256307,2024-11-10 22:28:30,1731277740000000000,1731277740,1.071195,1.07124,1.071185,1.07124,48
5256308,2024-11-10 22:29:00,1731277770001190250,1731277770,1.071225,1.071205,1.071195,1.071235,35
5256309,2024-11-10 22:29:30,1731277800000000000,1731277800,1.071215,1.07124,1.071195,1.07124,36
5256310,2024-11-10 22:30:00,1731277830000000000,1731277830,1.071245,1.07124,1.071155,1.071265,67
5256311,2024-11-10 22:30:30,1731277860000000000,1731277860,1.07125,1.071175,1.07115,1.07128,66
5256312,2024-11-10 22:31:00,1731277890000000000,1731277890,1.07118,1.07115,1.071135,1.07118,53
5256313,2024-11-10 22:31:30,1731277920000000000,1731277920,1.07114,1.071175,1.07114,1.071175,50
5256314,2024-11-10 22:32:00,1731277950000000000,1731277950,1.071165,1.071195,1.07116,1.071215,51
5256315,2024-11-10 22:32:30,1731277980000000000,1731277980,1.071205,1.071225,1.071195,1.071235,45
5256316,2024-11-10 22:33:00,1731278010000000000,1731278010,1.071235,1.071295,1.07123,1.07132,58
5256317,2024-11-10 22:33:30,1731278040000000000,1731278040,1.071295,1.07128,1.071245,1.0713,51
5256318,2024-11-10 22:34:00,1731278070000000000,1731278070,1.07128,1.07123,1.07123,1.0713,51
5256319,2024-11-10 22:34:30,1731278100000000000,1731278100,1.07123,1.071265,1.07122,1.071275,48
5256320,2024-11-10 22:35:00,1731278130000000000,1731278130,1.071265,1.071255,1.071235,1.071275,41
5256321,2024-11-10 22:35:30,1731278160000000000,1731278160,1.071255,1.07123,1.07122,1.071255,51
5256322,2024-11-10 22:36:00,1731278190000000000,1731278190,1.07123,1.07127,1.07122,1.07127,55
5256323,2024-11-10 22:36:30,1731278220000000000,1731278220,1.07127,1.071265,1.07126,1.07129,52
5256324,2024-11-10 22:37:00,1731278250000000000,1731278250,1.07126,1.071245,1.071225,1.071285,74
5256325,2024-11-10 22:37:30,1731278280000000000,1731278280,1.071235,1.07125,1.071225,1.07126,94
5256326,2024-11-10 22:38:00,1731278310000000000,1731278310,1.07125,1.071245,1.071225,1.07126,60
5256327,2024-11-10 22:38:30,1731278340000000000,1731278340,1.071235,1.07111,1.07108,1.07126,74
