id,from,at,to,open,close,min,max,volume
5256252,2024-11-10 22:01:00,1731276090000000000,1731276090,0.596785,0.596785,0.596785,0.596785,0
5256253,2024-11-10 22:01:30,1731276120000000000,1731276120,0.596785,0.596785,0.596785,0.596785,0
5256254,2024-11-10 22:02:00,1731276150000000000,1731276150,0.596785,0.596785,0.596785,0.596785,0
5256255,2024-11-10 22:02:30,1731276180000000000,1731276180,0.596785,0.597115,0.596785,0.597115,20
5256256,2024-11-10 22:03:00,1731276210000000000,1731276210,0.597115,0.597055,0.597025,0.597115,34
5256257,2024-11-10 22:03:30,1731276240000000000,1731276240,0.597065,0.597015,0.597015,0.597065,31
5256258,2024-11-10 22:04:00,1731276270000000000,1731276270,0.597025,0.597035,0.597015,0.597065,36
5256259,2024-11-10 22:04:30,1731276300000000000,1731276300,0.597035,0.597055,0.597025,0.597065,32
5256260,2024-11-10 22:05:00,1731276330000000000,1731276330,0.597055,0.595705,0.595595,0.597065,32
5256261,2024-11-10 22:05:30,1731276360003314582,1731276360,0.595695,0.595605,0.595505,0.595695,37
5256262,2024-11-10 22:06:00,1731276390000000000,1731276390,0.595605,0.595995,0.595585,0.596055,57
5256263,2024-11-10 22:06:30,1731276420000000000,1731276420,0.595995,0.596115,0.595965,0.596115,55
5256264,2024-11-10 22:07:00,1731276450000000000,1731276450,0.596095,0.596265,0.596065,0.596295,57
5256265,2024-11-10 22:07:30,1731276480000000000,1731276480,0.596255,0.596255,0.596235,0.596295,31
5256266,2024-11-10 22:08:00,1731276510000000000,1731276510,0.596265,0.596375,0.596265,0.596385,31
5256267,2024-11-10 22:08:30,1731276540000000000,1731276540,0.596375,0.596385,0.596345,0.596395,45
5256268,2024-11-10 22:09:00,1731276570000000000,1731276570,0.596395,0.596375,0.596345,0.596415,31
5256269,2024-11-10 22:09:30,1731276600000000000,1731276600,0.596375,0.596385,0.596345,0.596405,32
5256270,2024-11-10 22:10:00,1731276630004143874,1731276630,0.596415,0.596385,0.596355,0.596415,35
5256271,2024-11-10 22:10:30,1731276660000000000,1731276660,0.596395,0.596355,0.596345,0.596415,31
5256272,2024-11-10 22:11:00,1731276690001208142,1731276690,0.596355,0.596405,0.596355,0.596425,40
5256273,2024-11-10 22:11:30,1731276720000000000,1731276720,0.596375,0.596345,0.596335,0.596405,42
5256274,2024-11-10 22:12:00,1731276750000000000,1731276750,0.596355,0.596365,0.596345,0.596405,42
5256275,2024-11-10 22:12:30,1731276780000000000,1731276780,0.596365,0.596495,0.596365,0.596535,42
5256276,2024-11-10 22:13:00,1731276810000000000,1731276810,0.596485,0.596435,0.596425,0.596515,39
5256277,2024-11-10 22:13:30,1731276840000000000,1731276840,0.596465,0.596425,0.596415,0.596475,38
5256278,2024-11-10 22:14:00,1731276870000000000,1731276870,0.596405,0.596445,0.596405,0.596475,37
5256279,2024-11-10 22:14:30,1731276900000000000,1731276900,0.596455,0.596505,0.596455,0.596525,33
5256280,2024-11-10 22:15:00,1731276930000000000,1731276930,0.596515,0.596575,0.596505,0.596605,30
5256281,2024-11-10 22:15:30,1731276960000000000,1731276960,0.596595,0.596635,0.596545,0.596675,48
5256282,2024-11-10 22:16:00,1731276990000000000,1731276990,0.596645,0.596615,0.596615,0.596695,54
5256283,2024-11-10 22:16:30,1731277020000000000,1731277020,0.596645,0.596605,0.596605,0.596655,35
5256284,2024-11-10 22:17:00,1731277050000000000,1731277050,0.596585,0.596655,0.596585,0.596655,33
5256285,2024-11-10 22:17:30,1731277080000000000,1731277080,0.596655,0.596625,0.596605,0.596655,30
5256286,2024-11-10 22:18:00,1731277110000000000,1731277110,0.596615,0.596625,0.596615,0.596655,34
5256287,2024-11-10 22:18:30,1731277140000000000,1731277140,0.596625,0.596715,0.596615,0.596725,48
5256288,2024-11-10 22:19:00,1731277170000000000,1731277170,0.596745,0.596695,0.596665,0.596745,36
5256289,2024-11-10 22:19:30,1731277200000000000,1731277200,0.596695,0.596755,0.596675,0.596765,45
5256290,2024-11-10 22:20:00,1731277230000000000,1731277230,0.596765,0.596815,0.596705,0.596825,59
5256291,2024-11-10 22:20:30,1731277260000000000,1731277260,0.596795,0.596815,0.596755,0.596815,35
5256292,2024-11-10 22:21:00,1731277290000000000,1731277290,0.596795,0.596835,0.596785,0.596845,40
5256293,2024-11-10 22:21:30,1731277320000000000,1731277320,0.596835,0.596745,0.596745,0.596885,38
5256294,2024-11-10 22:22:00,1731277350000000000,1731277350,0.596735,0.596725,0.596715,0.596785,28
5256295,2024-11-10 22:22:30,1731277380000000000,1731277380,0.596725,0.596625,0.596605,0.596755,39
5256296,2024-11-10 22:23:00,1731277410000000000,1731277410,0.596605,0.596565,0.596565,0.596645,34
5256297,2024-11-10 22:23:30,1731277440000000000,1731277440,0.596565,0.596545,0.596535,0.596585,27
5256298,2024-11-10 22:24:00,1731277470000000000,1731277470,0.596525,0.596415,0.596405,0.596555,27
5256299,2024-11-10 22:24:30,1731277500000000000,1731277500,0.596425,0.596475,0.596155,0.596495,52
5256300,2024-11-10 22:25:00,1731277530000000000,1731277530,0.596495,0.596495,0.596465,0.596495,31
5256301,2024-11-10 22:25:30,1731277560000000000,1731277560,0.596485,0.596225,0.596065,0.596505,47
5256302,2024-11-10 22:26:00,1731277590002200237,1731277590,0.596225,0.596435,0.596205,0.596455,41
5256303,2024-11-10 22:26:30,1731277620000000000,1731277620,0.596435,0.596475,0.596425,0.596485,20
5256304,2024-11-10 22:27:00,1731277650000000000,1731277650,0.596465,0.596435,0.596415,0.596465,27
5256305,2024-11-10 22:27:30,1731277680000000000,1731277680,0.596445,0.596425,0.596415,0.596445,27
5256306,2024-11-10 22:28:00,1731277710000000000,1731277710,0.596425,0.596395,0.596385,0.596425,31
5256307,2024-11-10 22:28:30,1731277740000000000,1731277740,0.596405,0.596415,0.596395,0.596435,22
5256308,2024-11-10 22:29:00,1731277770000000000,1731277770,0.596405,0.596355,0.596325,0.596455,28
5256309,2024-11-10 22:29:30,1731277800000000000,1731277800,0.596355,0.596335,0.596315,0.596365,32
5256310,2024-11-10 22:30:00,1731277830000000000,1731277830,0.596135,0.596365,0.596135,0.596395,50
5256311,2024-11-10 22:30:30,1731277860000000000,1731277860,0.596395,0.596125,0.596105,0.596425,50
5256312,2024-11-10 22:31:00,1731277890000000000,1731277890,0.596115,0.596145,0.596095,0.596295,48
5256313,2024-11-10 22:31:30,1731277920000000000,1731277920,0.596135,0.596135,0.596075,0.596205,53
5256314,2024-11-10 22:32:00,1731277950000000000,1731277950,0.596135,0.596245,0.596125,0.596265,40
5256315,2024-11-10 22:32:30,1731277980000000000,1731277980,0.596265,0.596235,0.596145,0.596285,45
5256316,2024-11-10 22:33:00,1731278010000000000,1731278010,0.596215,0.596315,0.596175,0.596325,41
5256317,2024-11-10 22:33:30,1731278040000000000,1731278040,0.596335,0.596355,0.596325,0.596435,46
5256318,2024-11-10 22:34:00,1731278070000000000,1731278070,0.596375,0.596375,0.596365,0.596405,40
5256319,2024-11-10 22:34:30,1731278100000000000,1731278100,0.596385,0.596395,0.596345,0.596395,40
5256320,2024-11-10 22:35:00,1731278130000000000,1731278130,0.596395,0.596325,0.596325,0.596405,28
5256321,2024-11-10 22:35:30,1731278160000000000,1731278160,0.596325,0.596305,0.596305,0.596395,29
5256322,2024-11-10 22:36:00,1731278190000000000,1731278190,0.596305,0.596385,0.596285,0.596405,34
5256323,2024-11-10 22:36:30,1731278220000000000,1731278220,0.596375,0.596355,0.596335,0.596395,39
