id,from,at,to,open,close,min,max,volume
5256252,2024-11-10 22:01:00,1731276090000000000,1731276090,1.391015,1.3908,1.3908,1.391015,1
5256253,2024-11-10 22:01:30,1731276120000000000,1731276120,1.3908,1.39077,1.39077,1.3908,1
5256254,2024-11-10 22:02:00,1731276150000000000,1731276150,1.39077,1.39092,1.39077,1.39092,2
5256255,2024-11-10 22:02:30,1731276180000000000,1731276180,1.39092,1.39092,1.39092,1.39092,0
5256256,2024-11-10 22:03:00,1731276210000000000,1731276210,1.39092,1.39092,1.39092,1.39092,0
5256257,2024-11-10 22:03:30,1731276240000000000,1731276240,1.39092,1.39092,1.39092,1.39092,1
5256258,2024-11-10 22:04:00,1731276270000000000,1731276270,1.39092,1.39131,1.39092,1.39131,3
5256259,2024-11-10 22:04:30,1731276300000000000,1731276300,1.39131,1.39131,1.39131,1.39131,0
5256260,2024-11-10 22:05:00,1731276330000000000,1731276330,1.391295,1.39136,1.391295,1.39136,4
5256261,2024-11-10 22:05:30,1731276360000000000,1731276360,1.39136,1.391185,1.391185,1.39138,2
5256262,2024-11-10 22:06:00,1731276390000000000,1731276390,1.391185,1.391185,1.391185,1.391185,0
5256263,2024-11-10 22:06:30,1731276420000000000,1731276420,1.391185,1.391185,1.391185,1.391185,0
5256264,2024-11-10 22:07:00,1731276450000000000,1731276450,1.391185,1.391325,1.391185,1.391325,3
5256265,2024-11-10 22:07:30,1731276480000000000,1731276480,1.391325,1.39149,1.391325,1.391495,16
5256266,2024-11-10 22:08:00,1731276510000000000,1731276510,1.391495,1.391495,1.391495,1.3915,7
5256267,2024-11-10 22:08:30,1731276540000000000,1731276540,1.391495,1.39156,1.391495,1.391565,7
5256268,2024-11-10 22:09:00,1731276570000000000,1731276570,1.39156,1.391555,1.391555,1.39156,1
5256269,2024-11-10 22:09:30,1731276600000000000,1731276600,1.391555,1.391555,1.391555,1.39156,2
5256270,2024-11-10 22:10:00,1731276630000000000,1731276630,1.391555,1.39156,1.39155,1.39156,4
5256271,2024-11-10 22:10:30,1731276660000000000,1731276660,1.39156,1.391555,1.391555,1.39156,1
5256272,2024-11-10 22:11:00,1731276690000000000,1731276690,1.391555,1.39155,1.39155,1.391555,1
5256273,2024-11-10 22:11:30,1731276720000000000,1731276720,1.39155,1.391545,1.391545,1.39155,1
5256274,2024-11-10 22:12:00,1731276750000000000,1731276750,1.391545,1.39154,1.39154,1.391545,1
5256275,2024-11-10 22:12:30,1731276780000000000,1731276780,1.39154,1.391535,1.391535,1.39154,1
5256276,2024-11-10 22:13:00,1731276810000000000,1731276810,1.391535,1.39148,1.39148,1.391535,2
5256277,2024-11-10 22:13:30,1731276840000000000,1731276840,1.39148,1.391535,1.39148,1.39154,3
5256278,2024-11-10 22:14:00,1731276870000000000,1731276870,1.391535,1.391535,1.391535,1.391535,0
5256279,2024-11-10 22:14:30,1731276900000000000,1731276900,1.39154,1.391535,1.391535,1.39154,2
5256280,2024-11-10 22:15:00,1731276930000000000,1731276930,1.39154,1.391395,1.391335,1.39154,17
5256281,2024-11-10 22:15:30,1731276960000000000,1731276960,1.391395,1.391355,1.391355,1.391395,1
5256282,2024-11-10 22:16:00,1731276990000000000,1731276990,1.391355,1.39122,1.39122,1.391355,5
5256283,2024-11-10 22:16:30,1731277020000000000,1731277020,1.39122,1.391225,1.39122,1.391225,1
5256284,2024-11-10 22:17:00,1731277050000000000,1731277050,1.39121,1.391155,1.391155,1.39121,9
5256285,2024-11-10 22:17:30,1731277080000000000,1731277080,1.391155,1.391155,1.391155,1.391155,0
5256286,2024-11-10 22:18:00,1731277110000000000,1731277110,1.391155,1.391155,1.391155,1.391155,0
5256287,2024-11-10 22:18:30,1731277140000000000,1731277140,1.391135,1.39094,1.39094,1.391135,9
5256288,2024-11-10 22:19:00,1731277170000000000,1731277170,1.39094,1.390955,1.39094,1.390955,1
5256289,2024-11-10 22:19:30,1731277200000000000,1731277200,1.390955,1.391045,1.390955,1.391045,2
5256290,2024-11-10 22:20:00,1731277230000000000,1731277230,1.391045,1.391045,1.391045,1.391045,0
5256291,2024-11-10 22:20:30,1731277260000000000,1731277260,1.391045,1.391045,1.391045,1.391045,0
5256292,2024-11-10 22:21:00,1731277290000000000,1731277290,1.391045,1.39105,1.391045,1.39107,2
5256293,2024-11-10 22:21:30,1731277320000000000,1731277320,1.39105,1.39105,1.39105,1.391075,2
5256294,2024-11-10 22:22:00,1731277350000000000,1731277350,1.39105,1.39105,1.39105,1.39105,0
5256295,2024-11-10 22:22:30,1731277380004850304,1731277380,1.39105,1.39105,1.39105,1.39105,0
5256296,2024-11-10 22:23:00,1731277410000000000,1731277410,1.39105,1.39105,1.39105,1.39105,0
5256297,2024-11-10 22:23:30,1731277440000000000,1731277440,1.39105,1.39102,1.39102,1.39105,1
5256298,2024-11-10 22:24:00,1731277470000000000,1731277470,1.39102,1.391045,1.39102,1.391045,1
5256299,2024-11-10 22:24:30,1731277500000000000,1731277500,1.391045,1.391035,1.391035,1.391045,2
5256300,2024-11-10 22:25:00,1731277530000000000,1731277530,1.391035,1.39108,1.39103,1.39108,2
5256301,2024-11-10 22:25:30,1731277560000000000,1731277560,1.39108,1.39108,1.39108,1.39108,0
5256302,2024-11-10 22:26:00,1731277590000000000,1731277590,1.39108,1.39107,1.39107,1.39108,1
5256303,2024-11-10 22:26:30,1731277620000000000,1731277620,1.39107,1.39112,1.39107,1.39112,2
5256304,2024-11-10 22:27:00,1731277650000000000,1731277650,1.39112,1.39111,1.39109,1.39112,2
5256305,2024-11-10 22:27:30,1731277680000000000,1731277680,1.39111,1.391085,1.39106,1.39111,5
5256306,2024-11-10 22:28:00,1731277710000000000,1731277710,1.391085,1.391085,1.391085,1.391085,0
5256307,2024-11-10 22:28:30,1731277740000000000,1731277740,1.391085,1.391085,1.391085,1.391085,0
5256308,2024-11-10 22:29:00,1731277770000000000,1731277770,1.391085,1.39095,1.390915,1.39112,49
5256309,2024-11-10 22:29:30,1731277800000000000,1731277800,1.39095,1.391,1.39095,1.391,3
5256310,2024-11-10 22:30:00,1731277830000000000,1731277830,1.390995,1.3911,1.390995,1.3911,11
5256311,2024-11-10 22:30:30,1731277860000000000,1731277860,1.3911,1.391075,1.391005,1.39114,594
